File mappings for integration of Perl 5.6.1 into Solaris 9,,,,,,,,,
"Version 6, 30/05/2001",,,,,,,,,
,,,,,,,,,
./ext/ODBM_File/hints/,cygwin.pl,,,X,delete,X
./ext/ODBM_File/hints/,dec_osf.pl,X,distrib,X,delete,
./ext/ODBM_File/hints/,hpux.pl,X,distrib,X,delete,
./ext/ODBM_File/hints/,sco.pl,X,distrib,X,delete,
./ext/ODBM_File/hints/,solaris.pl,X,distrib,X,distrib,
./ext/ODBM_File/hints/,svr4.pl,X,distrib,X,delete,
./ext/ODBM_File/hints/,ultrix.pl,X,distrib,X,delete,
./ext/Opcode/,Makefile,X,,X,delete,
./ext/Opcode/,Makefile.PL,X,distrib,X,distrib,
./ext/Opcode/,Opcode.bs,X,,X,delete,
./ext/Opcode/,Opcode.c,X,,X,delete
./ext/Opcode/,Opcode.pm,X,distrib,X,distrib
./ext/Opcode/,Opcode.xs,X,distrib,X,distrib
./ext/Opcode/,Safe.pm,X,distrib,X,distrib
./ext/Opcode/,ops.pm,X,distrib,X,distrib
./ext/Opcode/,pm_to_blib,X,,X,delete
./ext/POSIX/,Makefile,X,,X,delete
./ext/POSIX/,Makefile.PL,X,distrib,X,distrib
./ext/POSIX/,POSIX.bs,X,,X,delete
./ext/POSIX/,POSIX.c,X,,X,delete
./ext/POSIX/,POSIX.pm,X,distrib,X,distrib
./ext/POSIX/,POSIX.pod,X,distrib,X,distrib
./ext/POSIX/,POSIX.xs,X,distrib,X,distrib
./ext/POSIX/,pm_to_blib,X,,X,delete
./ext/POSIX/,typemap,X,distrib,X,distrib
./ext/POSIX/hints/,bsdos.pl,X,distrib,X,delete
./ext/POSIX/hints/,dynixptx.pl,X,distrib,X,delete,
./ext/POSIX/hints/,freebsd.pl,X,distrib,X,delete,
./ext/POSIX/hints/,linux.pl,X,distrib,X,delete,
./ext/POSIX/hints/,mint.pl,X,distrib,X,delete,
./ext/POSIX/hints/,netbsd.pl,X,distrib,X,delete,
./ext/POSIX/hints/,next_3.pl,X,distrib,X,delete,
./ext/POSIX/hints/,openbsd.pl,X,distrib,X,delete,
./ext/POSIX/hints/,sunos_4.pl,X,distrib,X,delete,
./ext/POSIX/hints/,svr4.pl,,,X,delete,X
